area,target,factor,model,n_train,n_test,n_total,intercept,slope,R2,RMSE,MAE,MAPE
Area2,load_min,平均温度,linear_full,1096,,1096,1597.6904387921122,152.93202206367835,0.567589977167147,835.1942505759826,638.7852229958514,22.76000193145368
Area2,load_min,平均温度,linear_2014_test,731,365.0,1096,1710.6549886715243,138.80170412002312,0.45129559789648777,1052.0508130255234,828.5771094547821,16.09252147613663
Area2,load_min,平均温度,quadratic_2014_test,731,365.0,1096,,,0.6371872825558307,855.4778020772994,713.9885949911527,14.07351973945015
Area2,load_min,相对湿度,linear_full,1095,,1095,3791.0023243071755,14.408425657232765,0.015995654628303768,1257.6789688036085,1005.8408915809114,29.630875776890285
Area2,load_min,相对湿度,linear_2014_test,731,364.0,1095,3415.2598762835546,16.500136322556447,-0.18037448127326328,1539.0901523286793,1166.4731025170593,21.632231225528894
Area2,load_min,降雨量,linear_full,1095,,1095,4859.283201355616,12.892994517647066,0.01911341040555803,1257.7777993159373,1014.2959673702497,29.623710935654945
Area2,load_min,降雨量,linear_2014_test,730,365.0,1095,4672.302718917686,11.039005501070875,-0.15208836233399659,1524.440186672569,1161.2219309197812,21.60397860780239
Area2,load_mean,最高温度,linear_full,1096,,1096,2854.3029647962394,171.33524509567837,0.5116510438705757,1111.3204220329276,845.0225902209513,13.381281198304348
Area2,load_mean,最高温度,linear_2014_test,731,365.0,1096,2956.8027615327246,159.14919720255142,0.37806623512488347,1388.6333514544056,1094.4797749374175,15.395924491359672
Area2,load_mean,最高温度,quadratic_2014_test,731,365.0,1096,,,0.5291118732436939,1208.2989387166658,987.9188838793079,14.104747916126945
Area2,load_mean,最低温度,linear_full,1092,,1092,4041.7624935722383,179.04055493901308,0.5163744695657146,1107.9020688993478,858.9718050800667,13.41115808070415
Area2,load_mean,最低温度,linear_2014_test,727,365.0,1092,4009.659513964411,167.1198764521807,0.3790460606362257,1387.5390591200592,1123.3335305159783,15.262465754132165
Area2,load_mean,最低温度,quadratic_2014_test,727,365.0,1092,,,0.5317260578275059,1204.9402718954077,1023.034392423972,14.034556815376146
Area2,load_mean,平均温度,linear_full,1096,,1096,3265.4568840440816,188.16407623505984,0.5480777796679881,1069.0696760425567,818.9536165422656,12.917915498161292
Area2,load_mean,平均温度,linear_2014_test,731,365.0,1096,3313.20585125447,175.03295874617578,0.415305684992903,1346.4181569160444,1084.3732557320714,14.993119124663535
Area2,load_mean,平均温度,quadratic_2014_test,731,365.0,1096,,,0.5860065992011028,1132.9538855500227,978.5149347542138,13.718285665608986
Area2,load_mean,相对湿度,linear_full,1095,,1095,5980.201271076322,17.52314161718994,0.015088218419514798,1575.605272987802,1238.6450936746674,18.929971201391158
Area2,load_mean,相对湿度,linear_2014_test,731,364.0,1095,5542.490396131733,19.805316850052726,-0.174719327616921,1903.7618475988716,1434.241589351311,18.882293360794844
Area2,load_mean,降雨量,linear_full,1095,,1095,7288.471234989708,13.95763888180303,0.014280179527661585,1579.1801986867322,1247.750401040678,18.992275867752934
Area2,load_mean,降雨量,linear_2014_test,730,365.0,1095,7058.248582687708,11.805334432718345,-0.15384737941194082,1891.427539016465,1416.5842882118761,18.68146001889502
